       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 12:34:08       54.426182*       2.0014
LBFGS:    1 12:34:08       54.043945*       0.7956
LBFGS:    2 12:34:08       53.973619*       0.2441
LBFGS:    3 12:34:08       53.963870*       0.2067
LBFGS:    4 12:34:08       53.952948*       0.0918
LBFGS:    5 12:34:08       53.951927*       0.0586
LBFGS:    6 12:34:08       53.950934*       0.0559
LBFGS:    7 12:34:08       53.950381*       0.0344
LBFGS:    8 12:34:08       53.950174*       0.0122
LBFGS:    9 12:34:08       53.950152*       0.0040
