      Step     Time          Energy         fmax
BFGS:    0 12:34:09       53.950152      455.2069
BFGS:    1 12:34:09        8.696929      102.1465
BFGS:    2 12:34:09        4.461831       65.9111
BFGS:    3 12:34:09        0.438130       28.5601
BFGS:    4 12:34:09       -0.906996       14.0035
BFGS:    5 12:34:09       -1.491800        6.0034
BFGS:    6 12:34:09       -1.671030        2.3782
BFGS:    7 12:34:09       -1.713910        0.7251
BFGS:    8 12:34:09       -1.719154        0.1410
BFGS:    9 12:34:09       -1.719378        0.0112
BFGS:   10 12:34:09       -1.719379        0.0002
