       Step     Time          Energy          fmax
LBFGS:    0 16:54:46       54.426182         2.001387
       Step     Time          Energy          fmax
LBFGS:    0 16:54:46       54.426182         2.001387
LBFGS:    1 16:54:46       54.043945         0.795573
LBFGS:    1 16:54:46       54.043945         0.795573
LBFGS:    2 16:54:46       53.973619         0.244110
LBFGS:    2 16:54:46       53.973619         0.244110
LBFGS:    3 16:54:46       53.963870         0.206685
LBFGS:    3 16:54:46       53.963870         0.206685
LBFGS:    4 16:54:46       53.952948         0.091759
LBFGS:    4 16:54:46       53.952948         0.091759
LBFGS:    5 16:54:46       53.951927         0.058557
LBFGS:    5 16:54:46       53.951927         0.058557
LBFGS:    6 16:54:46       53.950934         0.055873
LBFGS:    6 16:54:46       53.950934         0.055873
LBFGS:    7 16:54:46       53.950381         0.034417
LBFGS:    7 16:54:46       53.950381         0.034417
LBFGS:    8 16:54:46       53.950174         0.012223
LBFGS:    8 16:54:46       53.950174         0.012223
LBFGS:    9 16:54:46       53.950152         0.003991
LBFGS:    9 16:54:46       53.950152         0.003991
