      Step     Time          Energy         fmax
BFGS:    0 15:02:46       53.950152      455.2069
      Step     Time          Energy         fmax
BFGS:    0 15:02:46       53.950152      455.2069
BFGS:    1 15:02:46        8.696929      102.1465
BFGS:    1 15:02:46        8.696929      102.1465
BFGS:    2 15:02:46        4.461831       65.9111
BFGS:    2 15:02:46        4.461831       65.9111
BFGS:    3 15:02:46        0.438130       28.5601
BFGS:    3 15:02:46        0.438130       28.5601
BFGS:    4 15:02:47       -0.906996       14.0035
BFGS:    4 15:02:47       -0.906996       14.0035
BFGS:    5 15:02:47       -1.491800        6.0034
BFGS:    5 15:02:47       -1.491800        6.0034
BFGS:    6 15:02:47       -1.671030        2.3782
BFGS:    6 15:02:47       -1.671030        2.3782
BFGS:    7 15:02:47       -1.713910        0.7251
BFGS:    7 15:02:47       -1.713910        0.7251
BFGS:    8 15:02:47       -1.719154        0.1410
BFGS:    8 15:02:47       -1.719154        0.1410
BFGS:    9 15:02:47       -1.719378        0.0112
BFGS:    9 15:02:47       -1.719378        0.0112
BFGS:   10 15:02:47       -1.719379        0.0002
BFGS:   10 15:02:47       -1.719379        0.0002
