      Step     Time          Energy         fmax
BFGS:    0 14:19:08        0.129186        2.8134
BFGS:    1 14:19:08       -0.112592        1.3415
BFGS:    2 14:19:08       -0.214232        0.5759
BFGS:    3 14:19:08       -0.246138        0.2235
BFGS:    4 14:19:08       -0.253593        0.0688
BFGS:    5 14:19:08       -0.254538        0.0135
BFGS:    6 14:19:08       -0.254582        0.0067
BFGS:    7 14:19:08       -0.254584        0.0066
BFGS:    8 14:19:08       -0.254590        0.0064
BFGS:    9 14:19:08       -0.254602        0.0061
BFGS:   10 14:19:08       -0.254629        0.0095
BFGS:   11 14:19:08       -0.254667        0.0106
BFGS:   12 14:19:08       -0.254695        0.0068
BFGS:   13 14:19:08       -0.254704        0.0023
BFGS:   14 14:19:09       -0.254705        0.0022
BFGS:   15 14:19:09       -0.254706        0.0022
BFGS:   16 14:19:09       -0.254707        0.0020
BFGS:   17 14:19:09       -0.254708        0.0018
BFGS:   18 14:19:09       -0.254712        0.0020
BFGS:   19 14:19:09       -0.254717        0.0025
BFGS:   20 14:19:09       -0.254721        0.0020
BFGS:   21 14:19:09       -0.254722        0.0012
BFGS:   22 14:19:09       -0.254722        0.0010
