      Step     Time          Energy         fmax
BFGS:    0 09:19:35        0.679340        0.1188
BFGS:    1 09:19:35        0.678910        0.1095
BFGS:    2 09:19:35        0.676950        0.0751
BFGS:    3 09:19:35        0.676783        0.0715
BFGS:    4 09:19:35        0.675251        0.0735
BFGS:    5 09:19:35        0.675098        0.0713
BFGS:    6 09:19:35        0.673611        0.0767
BFGS:    7 09:19:35        0.673447        0.0752
BFGS:    8 09:19:35        0.671653        0.0027
      Step     Time          Energy         fmax
BFGS:    0 09:19:36        1.345261        0.2291
BFGS:    1 09:19:36        1.343698        0.2118
BFGS:    2 09:19:36        1.335907        0.0844
BFGS:    3 09:19:36        1.335577        0.0723
BFGS:    4 09:19:36        1.333940        0.0515
BFGS:    5 09:19:36        1.332997        0.0613
BFGS:    6 09:19:36        1.332370        0.0804
BFGS:    7 09:19:36        1.331877        0.0831
BFGS:    8 09:19:36        1.331040        0.0747
BFGS:    9 09:19:36        1.329787        0.0515
BFGS:   10 09:19:36        1.328608        0.0494
BFGS:   11 09:19:36        1.328052        0.0496
BFGS:   12 09:19:36        1.327838        0.0389
BFGS:   13 09:19:36        1.327685        0.0233
BFGS:   14 09:19:36        1.327554        0.0145
BFGS:   15 09:19:36        1.327501        0.0061
      Step     Time          Energy         fmax
BFGS:    0 09:19:36        0.863243        0.1103
BFGS:    1 09:19:36        0.862900        0.1026
BFGS:    2 09:19:36        0.860832        0.0887
BFGS:    3 09:19:36        0.860612        0.0862
BFGS:    4 09:19:36        0.858574        0.0876
BFGS:    5 09:19:36        0.858354        0.0858
BFGS:    6 09:19:36        0.856380        0.0832
BFGS:    7 09:19:36        0.856136        0.0859
BFGS:    8 09:19:36        0.854986        0.0720
BFGS:    9 09:19:36        0.854252        0.0682
BFGS:   10 09:19:36        0.853568        0.0847
BFGS:   11 09:19:36        0.853209        0.0737
BFGS:   12 09:19:36        0.852923        0.0431
BFGS:   13 09:19:36        0.852777        0.0147
BFGS:   14 09:19:36        0.852735        0.0049
